date,openn,close,high,low,volume
2020-01-21,19.02,19.0,19.25,18.77,24417821.0
2020-01-17,19.1,19.11,19.29,18.76,46317283.0
2020-01-16,18.02,18.25,18.41,17.78,27082291.0
2020-01-15,18.0,18.19,18.52,17.97,23381323.0
2020-01-14,17.99,17.99,18.09,17.67,25409139.0
2020-01-13,17.48,18.0,18.0,17.3,22446606.0
2020-01-10,17.66,17.41,17.73,17.28,25643260.0
2020-01-09,17.29,17.36,17.93,17.04,62798221.0
2020-01-08,16.98,16.67,17.01,16.65,15611796.0
2020-01-07,16.87,17.03,17.07,16.55,21450918.0
2020-01-06,16.65,16.78,16.79,16.41,15980488.0
