date,openn,close,high,low,volume
2002-07-01,29.96,30.03,30.21,29.7,2149306.0
2002-07-02,28.64,30.28,31.02,28.64,5106651.0
2002-07-03,30.31,30.39,30.55,29.81,2099984.0
2002-07-04,30.37,30.9,31.27,30.09,3929488.0
2002-07-05,31.12,30.94,31.3,30.68,1776717.0
2002-07-08,31.12,31.41,31.54,31.02,2472585.0
2002-07-09,31.51,30.67,31.51,30.59,1970771.0
2002-07-10,30.17,30.25,30.74,30.03,1701506.0
2002-07-11,30.15,30.14,30.69,30.01,1704984.0
2002-07-12,30.17,29.72,30.56,29.54,1753609.0
2002-07-15,29.78,28.76,29.78,28.56,1841618.0
2002-07-16,29.02,28.85,29.31,28.28,2011311.0
2002-07-17,28.45,28.73,29.17,28.37,1162118.0
2002-07-18,26.73,29.07,29.26,26.73,968661.0
2002-07-19,29.07,29.14,29.41,28.88,827982.0
2002-07-22,28.83,28.03,28.93,27.89,1193510.0
2002-07-23,27.69,28.14,28.36,27.5,1720106.0
2002-07-24,28.01,27.2,28.21,27.09,1303719.0
2002-07-25,28.55,27.17,28.55,26.95,3654273.0
2002-07-26,27.17,25.36,27.17,25.01,3069941.0
2002-07-29,25.45,24.72,25.45,24.12,1828661.0
2002-07-30,25.21,23.83,25.35,23.53,1934568.0
2002-07-31,23.58,24.27,24.48,23.2,2143134.0
2002-08-01,24.71,23.91,24.98,23.7,2050409.0
2002-08-02,23.32,23.62,23.82,23.15,1185922.0
2002-08-05,23.66,25.22,25.38,23.66,2980879.0
2002-08-06,24.83,25.47,25.74,24.65,2876825.0
2002-08-07,25.97,25.66,26.06,25.51,1903654.0
2002-08-08,25.59,24.19,25.68,23.96,2128469.0
2002-08-09,24.15,24.21,24.68,23.72,3338799.0
2002-08-12,24.44,24.94,25.18,24.41,2183033.0
2002-08-13,25.49,25.42,25.62,25.09,2361542.0
2002-08-14,25.25,25.19,25.49,24.95,1360434.0
2002-08-16,25.74,25.42,25.74,25.3,1130681.0
2002-08-19,25.57,25.25,25.58,25.15,1199114.0
2002-08-20,25.4,25.73,25.78,25.21,1633808.0
