date,openn,close,high,low,volume
2019-12-02,160.95,160.8,163.0,158.95,19441998.0
2019-12-03,162.95,158.2,162.95,157.4,21156471.0
2019-12-04,158.5,169.4,170.35,157.7,72084687.0
2019-12-05,170.35,166.1,172.2,165.2,31787128.0
2019-12-06,167.0,161.5,168.0,160.05,27727162.0
2019-12-09,162.0,160.5,166.45,159.75,30920409.0
2019-12-10,162.15,159.7,163.25,159.05,26259395.0
2019-12-11,160.4,161.8,163.0,157.4,21154277.0
2019-12-12,163.45,173.35,174.9,162.5,66138915.0
2019-12-13,177.25,176.7,183.95,175.5,93019636.0
2019-12-16,177.0,174.95,178.8,173.35,26249975.0
2019-12-17,176.0,180.2,181.15,175.35,38213263.0
2019-12-18,182.1,174.8,184.5,170.45,63861334.0
2019-12-19,174.65,179.15,180.2,174.0,53466924.0
2019-12-20,180.4,175.95,181.7,174.85,48818008.0
2019-12-23,176.85,176.05,179.0,174.15,27192195.0
2019-12-24,177.65,175.5,178.0,174.65,20560311.0
2019-12-26,175.9,174.6,176.45,174.1,18785333.0
2019-12-27,176.0,176.15,176.95,174.85,12095797.0
2019-12-30,177.2,183.7,184.35,176.3,40948394.0
2019-12-31,184.0,185.15,187.9,181.55,52869996.0
2020-01-01,185.15,184.45,186.7,183.6,25968357.0
2020-01-02,185.0,193.75,194.7,184.6,57289863.0
2020-01-03,192.9,191.1,195.65,189.25,47572728.0
2020-01-06,191.0,185.65,191.0,185.05,28621212.0
2020-01-07,187.0,184.7,189.4,182.3,34995035.0
2020-01-08,180.2,182.55,184.2,180.2,21862695.0
2020-01-09,184.85,192.0,192.75,184.25,40803142.0
2020-01-10,192.0,196.35,199.0,190.0,60252338.0
2020-01-13,194.75,196.25,197.75,191.4,40535961.0
2020-01-14,195.7,195.85,198.25,193.6,29867542.0
2020-01-15,195.0,200.35,201.7,194.0,38485962.0
2020-01-16,199.5,197.55,200.6,196.9,28118140.0
2020-01-17,197.25,197.3,199.45,195.7,18204088.0
2020-01-20,198.0,195.0,201.45,194.3,28976013.0
2020-01-21,195.5,191.4,196.4,190.2,20859399.0
2020-01-22,191.95,185.6,192.5,184.25,32951651.0
2020-01-23,186.75,188.4,190.4,183.8,33031664.0
2020-01-24,188.0,186.5,191.0,185.0,21791165.0
2020-01-27,185.7,182.2,186.9,180.85,30132428.0
2020-01-28,183.9,176.1,184.3,174.9,38283588.0
2020-01-29,178.8,188.05,188.9,178.55,61585460.0
2020-01-30,190.95,186.2,192.55,184.25,70900581.0
2020-01-31,186.3,176.6,188.35,175.95,75621647.0
